name,FirstName,SecondName,Hint,BirthDate,CurrentAge,Genre,KnownFor,RunningTime,url,image,copyrightTerms,AttributedNeeded,category,id
Casey Neistat,Casey,Neistat,Filmmaker and YouTube star,"March 25, 1981",42,Influencers and Social Media Stars,Adventure and lifestyle vlogs,42,File:TechCrunch Disrupt NY 2016 - Day 2 (26330631153) (2).jpg - Wikimedia Commons,CaseyNeistat,"TechCrunch, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Kylie Jenner,Kylie,Jenner,Reality TV star and businesswoman,"August 10, 1997",26,Influencers and Social Media Stars,"""Keeping Up with the Kardashians"", Kylie Cosmetics",26,https://commons.wikimedia.org/wiki/File:Kylie_Jenner_2021.jpg,KylieJenner,"Condé Nast (through Vogue Taiwan), CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Kim Kardashian,Kim,Kardashian,Media mogul,"October 21, 1980",43,Influencers and Social Media Stars,"""Keeping Up with the Kardashians"", various businesses",43,https://commons.wikimedia.org/wiki/File:President_Trump_Meets_with_Sentencing_Commutation_Recipients_(49624188912)_(cropped).jpg,KimKardashian,"The White House from Washington, DC, Public domain, via Wikimedia Commons",FALSE,celebrities,
Ariana Grande,Ariana,Grande,Pop diva known for her vocal range,"June 26, 1993",30,Musician,"""Thank U, Next"", ""7 Rings"", Actress in ""Victorious""",30,https://commons.wikimedia.org/wiki/File:Ariana_Grande_interview_2016.png,ArianaGrande,"Pure DOPE Magazine, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Billie Eilish,Billie,Eilish,Grammy-winning dark pop artist,"December 18, 2001",22,Musician,"""When We All Fall Asleep, Where Do We Go?"", ""Bad Guy""",22,File:Billie Eilish 2019 by Glenn Francis (cropped) 2.jpg - Wikimedia Commons,BillieEilish,"Toglenn, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Taylor Swift,Taylor,Swift,Country turned pop superstar,"December 13, 1989",34,Musician,"""1989"", ""Reputation"", ""Folklore""",34,https://commons.wikimedia.org/wiki/File:Taylor_Swift_at_the_2023_MTV_Video_Music_Awards_(3).png,TaylorSwift,"iHeartRadioCA, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Rihanna Fenty,Rihanna,Fenty,Barbadian singer and business mogul,"February 20, 1988",35,Musician,"""Umbrella"", ""Diamonds"", Fenty Beauty line",35,https://commons.wikimedia.org/w/index.php?search=Rihanna&title=Special:MediaSearch&go=Go&type=image,RihannaFenty,"SIGMA, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Ed Sheeran,Ed,Sheeran,British singer-songwriter with a guitar,"February 17, 1991",32,Musician,"""Shape of You"", ""Thinking Out Loud""",32,https://commons.wikimedia.org/wiki/File:Ed_Sheeran-6886_(cropped).jpg,EdSheeran,"Harald Krichel, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Harry Styles,Harry,Styles,"Former One Direction member, turned rockstar","February 1, 1994",29,Musician,"""Watermelon Sugar"", ""Sign of the Times""",29,File:Harry Styles Wembley June 2022 (cropped).jpg - Wikimedia Commons,HarryStyles,"Lily Redman, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Lizzo,Lizzo,,Singer advocating body positivity,"April 27, 1988",35,Musician,"""Truth Hurts"", ""Juice""",35,https://commons.wikimedia.org/wiki/File:LizzoBrixt06Nov19-10_(49216792848)_(cropped).jpg,Lizzo,"Raph_PH, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Justin Bieber,Justin,Bieber,Canadian pop sensation,"March 1, 1994",29,Musician,"""Baby"", ""Sorry"", Huge YouTube discovery",29,https://commons.wikimedia.org/wiki/File:Justin_Bieber_in_2015.jpg,JustinBieber,"Lou Stejskal, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Beyonce Knowles,Beyonce,Knowles,Queen Bey,"September 4, 1981",42,Musician,"""Crazy in Love"", ""Lemonade"", Destiny's Child",42,https://commons.wikimedia.org/wiki/File:Beyonc%C3%A9_Black_Is_King_Still.png,BeyonceKnowles,"Mason Poole, CC BY 4.0, via Wikimedia Commons",TRUE,celebrities,
Kanye West,Kanye,West,Controversial genius in music and fashion,"June 8, 1977",46,Musician,"""The College Dropout"", ""Yeezy"" fashion line",46,https://commons.wikimedia.org/wiki/File:Kanye_West_at_the_2009_Tribeca_Film_Festival_(cropped).jpg,KanyeWest,"David Shankbone , Public domain, via Wikimedia Commons",FALSE,celebrities,
Ice Cube,Ice,Cube,Rapper turned actor,"June 15, 1969",54,Musician,"""It Was a Good Day"", N.W.A., transitioned to acting",54,https://commons.wikimedia.org/wiki/File:Ice-Cube_2014-01-09-Chicago-photoby-Adam-Bielawski.jpg,IceCube,"Adam Bielawski, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Lauryn Hill,Lauryn,Hill,Pioneering female hip-hop and soul artist,"May 26, 1975",48,Musician,"""The Miseducation of Lauryn Hill"", Formerly part of The Fugees",48,https://commons.wikimedia.org/wiki/File:Lauryn_Hill_2012.jpg,LaurynHill,"Brennan Schnell, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Michael Jackson,Michael,Jackson,The King of Pop,"August 29, 1958",Passed away at 50,Musician,"""Thriller"", ""Beat It"", ""Billie Jean""",50,https://commons.wikimedia.org/wiki/File:Michael_Jackson_Dangerous_World_Tour_1993.jpg,MichaelJackson,"Constru-centro, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Mariah Carey,Mariah,Carey,Renowned for her five-octave vocal range,"March 27, 1969",54,Musician,"""All I Want for Christmas Is You"", ""Hero"", Notable for vocal prowess",54,https://commons.wikimedia.org/wiki/File:Mariah_Carey_Library_of_Congress_2023_2_(cropped)02.jpg,MariahCarey,"Shawn Miller, Public domain, via Wikimedia Commons",TRUE,celebrities,
Kendrick Lamar,Kendrick,Lamar,Profound lyricist,"June 17, 1987",36,Musician,"""To Pimp a Butterfly"", ""DAMN"", Pulitzer Prize winner in music",36,https://commons.wikimedia.org/wiki/File:Pulitzer2018-portraits-kendrick-lamar.jpg,KendrickLamar,"Fuzheado, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Drake,Drake,,Chart-topping rapper from Toronto,"October 24, 1986",37,Musician,"""Hotline Bling"", ""God’s Plan"", Known for blending singing and rapping",37,https://commons.wikimedia.org/wiki/File:Drake_July_2016.jpg,Drake,"The Come Up Show, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Jermaine,Jermaine,Cole,Thoughtful rapper and producer,"January 28, 1985",38,Musician,"""2014 Forest Hills Drive"", ""KOD""",38,https://commons.wikimedia.org/wiki/File:J._Cole_(DJ_Zeke_cropped_out).jpg,JermaineCole,"Candice Rose, LBF!, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Nicki Minaj,Nicki,Minaj,Trinidadian-born rapper and singer,"December 8, 1982",40,Musician,"""Super Bass"", ""Anaconda""",40,https://commons.wikimedia.org/wiki/File:Nicki_Minaj_MTV_VMAs_4.jpg,NickiMinaj,"MTV International, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Cardi B,Cardi,B,Bronx rapper and social media star,"October 11, 1992",30,Musician,"""Bodak Yellow"", ""WAP""",30,https://commons.wikimedia.org/wiki/File:Cardi_B_2021_02.jpg,CardiB,"Anthony Kane, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Travis Scott,Travis,Scott,Houston rapper known for his auto-tune,"April 30, 1991",32,Musician,"""Astroworld"", ""Sicko Mode""",32,https://commons.wikimedia.org/wiki/File:Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg,TravisScott,"Frank Schwichtenberg, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Dwayne Johnson,Dwayne,Johnson,Former wrestler turned actor,"May 2, 1972",51,Actor,"""Fast & Furious"" series, ""Jumanji""",51,https://commons.wikimedia.org/wiki/File:Dwayne_%22The_Rock%22_Johnson_Visits_the_Pentagon_(41)_(cropped).jpg,DwayneJohnson,"Henry Villarama, Public domain, via Wikimedia Commons",TRUE,celebrities,
Zendaya Coleman,Zendaya,Coleman,Actress and singer,"September 1, 1996",26,Actress,"""Euphoria"", ""Spider-Man"" films",26,https://commons.wikimedia.org/wiki/File:Zendaya_-_2019_by_Glenn_Francis.jpg,ZendayaColeman,"© Glenn Francis, www.PacificProDigital.com, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Tom Holland,Tom,Holland,Current Spider-Man,"June 1, 1996",27,Actor,"""Spider-Man"" films, ""The Impossible""",27,https://commons.wikimedia.org/wiki/File:Tom_Holland_by_Gage_Skidmore.jpg,TomHolland,"Gage Skidmore, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Morgan Freeman,Morgan,Freeman,Iconic voice and commanding presence,"June 1, 1937",86,Actor,"""Shawshank Redemption"", ""Bruce Almighty""",86,https://commons.wikimedia.org/wiki/File:Morgan_Freeman_Deauville_2018.jpg,MorganFreeman,"Georges Biard, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Tom Cruise,Tom,Cruise,Action movie star,"July 3, 1962",61,Actor,"""Mission: Impossible"" series, ""Top Gun""",61,https://commons.wikimedia.org/wiki/File:Tom_Cruise_by_Gage_Skidmore_2.jpg,TomCruise,"Gage Skidmore, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Will Smith,Will,Smith,Fresh Prince turned movie star,"September 25, 1968",54,Actor,"""The Fresh Prince of Bel-Air"", ""I Am Legend""",54,"https://commons.wikimedia.org/wiki/File:Will_Smith,_Karate_Kid_premiere_2010.jpg",WillSmith,"Vanessa Lua, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Leonardo DiCaprio,Leonardo,DiCaprio,Starred in Titanic,"November 11, 1974",48,Actor,"""Titanic"", ""Inception"", ""The Revenant""",48,https://commons.wikimedia.org/wiki/File:Leonardo_DiCaprio_October_2016.jpg,LeonardoDiCaprio,"U.S. Department of State, Public domain, via Wikimedia Commons",TRUE,celebrities,
Robert Downey Jr,Robert,Downey Jr,Played Iron Man,"April 4, 1965",58,Actor,"""Iron Man"", ""Sherlock Holmes""",58,https://commons.wikimedia.org/wiki/File:Robert_Downey_Jr_2014_Comic_Con_(cropped).jpg,RobertDowneyJr,"Gage Skidmore, CC BY-SA 2.0, via Wikimedia Commons",TRUE,celebrities,
Jackie Chan,Jackie,Chan,Martial artist and actor,"April 7, 1954",69,Actor,"""Rush Hour"", ""Police Story""",69,https://commons.wikimedia.org/wiki/File:Jackie_Chan_photo_martial_arts.jpg,JackieChan,"Gheyratmand, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Tom Hanks,Tom,Hanks,America's favorite actor,"July 9, 1956",67,Actor,"""Forrest Gump"", ""Cast Away""",67,https://commons.wikimedia.org/wiki/File:Tom_Hanks_TIFF_2019.jpg,TomHanks,"John Bauld from Toronto, Canada, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Angelina Jolie,Angelina,Jolie,Known for her humanitarian work,"June 4, 1975",48,Actress,"""Maleficent"", ""Girl, Interrupted""",48,"https://commons.wikimedia.org/wiki/File:Angelina_Jolie_at_the_U.S._Department_of_State_in_Washington,_D.C._in_2022.jpg",AngelinaJolie,"U.S. Department of State from United States, Public domain, via Wikimedia Commons",TRUE,celebrities,
Adam Sandler,Adam,Sandler,Comedy star,"September 9, 1966",56,Actor,"""Happy Gilmore"", ""Billy Madison""",56,https://commons.wikimedia.org/wiki/File:Adam_Sandler_2011_(Cropped).jpg,AdamSandler,"Angela George, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Oprah Winfrey,Oprah,Winfrey,Media proprietor,"January 29, 1954",69,Entertainment Host and Personality,"""The Oprah Winfrey Show""",69,https://commons.wikimedia.org/wiki/File:Oprah_Winfrey_cropped.jpg,OprahWinfrey,"photo by Alan Light, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Jimmy Fallon,Jimmy,Fallon,Late-night show host,"September 19, 1974",48,Entertainment Host and Personality,"""The Tonight Show Starring Jimmy Fallon""",48,"https://commons.wikimedia.org/wiki/File:Jimmy_Fallon,_Montclair_Film_Festival,_2013.jpg",JimmyFallon,"Montclair Film Festival, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Jimmy Kimmel,Jimmy,Kimmel,Late-night talk show host,"November 13, 1967",55,Entertainment Host and Personality,"""Jimmy Kimmel Live!""",55,https://commons.wikimedia.org/wiki/File:Jimmy_Kimmel_June_2022.jpg,JimmyKimmel,"Erin Scott , Public domain, via Wikimedia Commons",FALSE,celebrities,
Naomi Campbell,Naomi,Campbell,British supermodel,"May 22, 1970",53,Fashion Icons,"Supermodel, numerous magazine covers",53,https://commons.wikimedia.org/wiki/File:Naomi_Campbell_Cannes_2018.jpg,NaomiCampbell,"Georges Biard, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Virgil Abloh,Virgil,Abloh,American designer and entrepreneur,"September 30, 1980",Passed away at 41,Fashion Icons,"Off-White founder, artistic director at Louis Vuitton",41,https://commons.wikimedia.org/wiki/File:Virgil_Abloh_Paris_Fashion_Week_Autumn_Winter_2019_(cropped).jpg,VirgilAbloh,"Myles Kalus Anak Jihem, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Bella Hadid,Bella,Hadid,American supermodel,"October 9, 1996",26,Fashion Icons,"High-profile runway shows, magazine covers",26,https://commons.wikimedia.org/wiki/File:Bella_Hadid_Cannes_2018.jpg,BellaHadid,"Georges Biard, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Nigo,Nigo,,Japanese designer and DJ,"December 23, 1970",52,Fashion Icons,"Founded A Bathing Ape, known for street fashion",52,"https://commons.wikimedia.org/wiki/File:Nigo_in_Thailand,_2006.jpg",Nigo,"I, Sry85, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
Zoe Kravitz,Zoe,Kravitz,Actress and musician,"December 1, 1988",34,"Actress, Musician","""Big Little Lies"", ""Mad Max: Fury Road""",34,https://commons.wikimedia.org/wiki/File:Zoe_Kravitz_2020_dvna_studio.jpg,ZoeKravitz,"dvna creative agency: https://www.dvna.fr/, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Solange Knowles,Solange,Knowles,"Singer-songwriter, Beyoncé's sister","June 24, 1986",37,Musician,"""A Seat at the Table"", ""When I Get Home""",37,"https://commons.wikimedia.org/wiki/File:Solange_Knowles,_Bonnaroo_Music_and_Arts_Festival_2019_(cropped).jpg",SolangeKnowles,"Raph_PH, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
ASAP Rocky,ASAP,Rocky,Harlem rapper and fashion icon,"October 3, 1988",34,Musician,"""Praise the Lord (Da Shine)"", ""Fashion Killa""",34,https://commons.wikimedia.org/wiki/File:South_by_Southwest_2019_4_-_46628270064_(cropped).jpg,ASAPRocky,"DannyB Photos, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Timothee Chalamet,Timothee,Chalamet,"Breakout star of ""Call Me by Your Name""","December 27, 1995",27,Actor,"""Call Me by Your Name"", ""Dune""",27,https://commons.wikimedia.org/wiki/File:Timoth%C3%A9e_Chalamet_in_2018_(cropped).jpg,TimotheeChalamet,"Somewhere In Toronto, CC BY-SA 2.0, via Wikimedia Commons",TRUE,celebrities,
Pharrell Williams,Pharrell,Williams,Music producer and fashion designer,"April 5, 1973",50,"Musician, Entrepreneur","""Happy"", N.E.R.D, Billionaire Boys Club, Human Made",50,https://commons.wikimedia.org/wiki/File:Pharrell_Williams_at_The_Lion_King_European_Premiere_2019.png,PharrellWilliams,"Sassy, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
